date,Facebook_views
2015-07-05,56801.8
2015-07-12,45050.142857142855
2015-07-19,45928.71428571428
2015-07-26,48518.0
2015-08-02,48367.42857142857
2015-08-09,45360.42857142857
2015-08-16,45254.0
2015-08-23,43708.28571428572
2015-08-30,43988.42857142857
2015-09-06,41876.142857142855
2015-09-13,43488.857142857145
2015-09-20,45075.0
2015-09-27,45219.57142857143
2015-10-04,52167.28571428572
2015-10-11,46200.42857142857
2015-10-18,37363.28571428572
2015-10-25,36601.57142857143
2015-11-01,36735.0
2015-11-08,39559.57142857143
2015-11-15,37653.0
2015-11-22,41208.71428571428
2015-11-29,42181.42857142857
2015-12-06,186772.7142857143
2015-12-13,132879.14285714287
2015-12-20,39704.857142857145
2015-12-27,39783.28571428572
2016-01-03,41423.28571428572
2016-01-10,43966.857142857145
2016-01-17,44334.0
2016-01-24,40286.28571428572
2016-01-31,41359.57142857143
2016-02-07,46722.857142857145
2016-02-14,39385.0
2016-02-21,39040.142857142855
2016-02-28,38319.857142857145
2016-03-06,38292.142857142855
2016-03-13,39592.42857142857
2016-03-20,37654.857142857145
2016-03-27,36340.42857142857
2016-04-03,42754.71428571428
2016-04-10,36307.42857142857
2016-04-17,34315.0
2016-04-24,33634.57142857143
2016-05-01,34759.0
2016-05-08,33208.71428571428
2016-05-15,33618.71428571428
2016-05-22,37440.42857142857
2016-05-29,35563.857142857145
2016-06-05,35588.28571428572
2016-06-12,35517.71428571428
2016-06-19,35158.0
2016-06-26,32318.428571428572
2016-07-03,32986.71428571428
2016-07-10,32179.571428571428
2016-07-17,30992.571428571428
2016-07-24,28784.85714285714
2016-07-31,30834.0
2016-08-07,30682.85714285714
2016-08-14,30525.0
2016-08-21,30460.14285714286
2016-08-28,32534.85714285714
2016-09-04,31826.285714285714
2016-09-11,35328.857142857145
2016-09-18,40240.42857142857
2016-09-25,33089.0
2016-10-02,35273.0
2016-10-09,34338.857142857145
2016-10-16,36419.857142857145
2016-10-23,60986.57142857143
2016-10-30,41966.42857142857
2016-11-06,38713.857142857145
2016-11-13,34146.42857142857
2016-11-20,33782.57142857143
2016-11-27,34493.28571428572
2016-12-04,53845.42857142857
2016-12-11,56481.0
2016-12-18,48996.71428571428
2016-12-25,38991.71428571428
2017-01-01,39464.142857142855
2017-01-08,43681.142857142855
2017-01-15,41608.142857142855
2017-01-22,43531.71428571428
2017-01-29,41393.42857142857
2017-02-05,50866.28571428572
2017-02-12,40864.42857142857
2017-02-19,42625.28571428572
2017-02-26,41158.28571428572
2017-03-05,44891.857142857145
2017-03-12,40601.857142857145
2017-03-19,36090.142857142855
2017-03-26,34522.0
2017-04-02,39401.57142857143
2017-04-09,35479.71428571428
2017-04-16,31900.14285714286
2017-04-23,32757.14285714286
2017-04-30,31618.714285714286
2017-05-07,34152.142857142855
2017-05-14,35136.142857142855
2017-05-21,33613.57142857143
2017-05-28,32779.0
2017-06-04,31127.14285714286
2017-06-11,27030.14285714286
2017-06-18,27131.85714285714
2017-06-25,28849.0
2017-07-02,28519.428571428572
2017-07-09,27045.714285714286
2017-07-16,32289.714285714286
2017-07-23,36274.57142857143
2017-07-30,34302.57142857143
2017-08-06,31911.428571428572
2017-08-13,30490.285714285714
2017-08-20,34414.857142857145
2017-08-27,36021.857142857145
2017-09-03,31634.0
2017-09-10,29594.571428571428
2017-09-17,29813.85714285714
2017-09-24,29717.85714285714
2017-10-01,28740.285714285714
2017-10-08,26987.714285714286
2017-10-15,25766.14285714286
2017-10-22,25271.428571428572
2017-10-29,24576.714285714286
2017-11-05,24994.85714285714
2017-11-12,25202.428571428572
2017-11-19,22761.714285714286
2017-11-26,23735.0
2017-12-03,24160.14285714286
2017-12-10,23371.285714285714
2017-12-17,22281.285714285714
2017-12-24,31096.285714285714
2017-12-31,23953.714285714286
2018-01-07,25588.85714285714
2018-01-14,36407.71428571428
2018-01-21,70029.28571428571
2018-01-28,45948.42857142857
2018-02-04,32480.428571428572
2018-02-11,32865.57142857143
2018-02-18,33852.142857142855
2018-02-25,33364.42857142857
2018-03-04,32777.71428571428
2018-03-11,33080.57142857143
2018-03-18,32537.285714285714
2018-03-25,45244.71428571428
2018-04-01,36794.857142857145
2018-04-08,33553.857142857145
2018-04-15,48857.28571428572
2018-04-22,32652.14285714286
2018-04-29,32522.428571428572
2018-05-06,32482.571428571428
2018-05-13,33021.71428571428
2018-05-20,29521.428571428572
2018-05-27,28214.285714285714
2018-06-03,31253.0
2018-06-10,27322.0
2018-06-17,25032.571428571428
2018-06-24,25648.14285714286
2018-07-01,31553.714285714286
2018-07-08,31381.85714285714
2018-07-15,29837.14285714286
2018-07-22,34244.57142857143
2018-07-29,36662.42857142857
2018-08-05,33095.57142857143
2018-08-12,29277.0
2018-08-19,31922.85714285714
2018-08-26,28719.428571428572
2018-09-02,28244.0
2018-09-09,29925.571428571428
2018-09-16,28654.0
2018-09-23,27111.14285714286
2018-09-30,27165.14285714286
2018-10-07,24369.14285714286
