date,Cambridge_Analytica_views
2016-02-14,23.666666666666668
2016-02-21,21.142857142857142
2016-02-28,20.428571428571427
2016-03-06,10.857142857142858
2016-03-13,20.142857142857142
2016-03-20,15.142857142857142
2016-03-27,14.142857142857142
2016-04-03,15.285714285714286
2016-04-10,16.0
2016-04-17,13.285714285714286
2016-04-24,14.142857142857142
2016-05-01,23.428571428571427
2016-05-08,12.142857142857142
2016-05-15,9.285714285714286
2016-05-22,13.0
2016-05-29,11.142857142857142
2016-06-05,12.428571428571429
2016-06-12,11.142857142857142
2016-06-19,9.142857142857142
2016-06-26,9.142857142857142
2016-07-03,20.285714285714285
2016-07-10,9.142857142857142
2016-07-17,7.285714285714286
2016-07-24,13.142857142857142
2016-07-31,11.714285714285714
2016-08-07,54.57142857142857
2016-08-14,36.714285714285715
2016-08-21,100.0
2016-08-28,27.571428571428573
2016-09-04,30.571428571428573
2016-09-11,32.57142857142857
2016-09-18,14.0
2016-09-25,50.714285714285715
2016-10-02,24.571428571428573
2016-10-09,51.57142857142857
2016-10-16,30.857142857142858
2016-10-23,82.71428571428571
2016-10-30,116.28571428571429
2016-11-06,190.57142857142858
2016-11-13,649.2857142857143
2016-11-20,280.57142857142856
2016-11-27,304.85714285714283
2016-12-04,1004.7142857142857
2016-12-11,1698.0
2016-12-18,9475.142857142857
2016-12-25,317.0
2017-01-01,241.0
2017-01-08,267.85714285714283
2017-01-15,397.57142857142856
2017-01-22,437.14285714285717
2017-01-29,1719.0
2017-02-05,2483.714285714286
2017-02-12,1212.4285714285713
2017-02-19,1288.857142857143
2017-02-26,1362.7142857142858
2017-03-05,1937.4285714285713
2017-03-12,881.8571428571429
2017-03-19,957.2857142857143
2017-03-26,935.7142857142857
2017-04-02,1387.4285714285713
2017-04-09,1133.857142857143
2017-04-16,638.0
2017-04-23,519.7142857142857
2017-04-30,416.42857142857144
2017-05-07,692.8571428571429
2017-05-14,1522.0
2017-05-21,1088.2857142857142
2017-05-28,563.8571428571429
2017-06-04,862.1428571428571
2017-06-11,648.5714285714286
2017-06-18,491.85714285714283
2017-06-25,678.1428571428571
2017-07-02,794.0
2017-07-09,520.2857142857143
2017-07-16,731.8571428571429
2017-07-23,502.2857142857143
2017-07-30,398.0
2017-08-06,780.8571428571429
2017-08-13,907.7142857142857
