date,meta_close
2015-01-04,77.83915710449219
2015-01-11,76.4818115234375
2015-01-18,75.14629211425782
2015-01-25,76.51455116271973
2015-02-01,76.0888916015625
2015-02-08,74.63431091308594
2015-02-15,75.03317718505859
2015-02-22,77.3008804321289
2015-03-01,78.62895965576172
2015-03-08,79.6688018798828
2015-03-15,77.69826812744141
2015-03-22,80.34747161865235
2015-03-29,83.14154663085938
2015-04-05,81.52275276184082
2015-04-12,81.60957183837891
2015-04-19,81.82388458251953
2015-04-26,82.40929107666015
2015-05-03,79.53981018066406
2015-05-10,77.67245941162109
2015-05-17,78.5237823486328
2015-05-24,79.98829498291016
2015-05-31,79.1836109161377
2015-06-07,80.83762817382812
2015-06-14,80.73840789794922
2015-06-21,81.15911102294922
2015-06-28,86.81274108886718
2015-07-05,85.7694320678711
2015-07-12,86.1737548828125
2015-07-19,90.36288299560547
2015-07-26,96.38958892822265
2015-08-02,94.39324951171875
2015-08-09,94.07375640869141
2015-08-16,93.23037872314453
2015-08-23,91.48804931640625
2015-08-30,85.92967224121094
2015-09-06,87.90219268798828
2015-09-13,90.29144287109375
2015-09-20,92.7521255493164
2015-09-27,93.20060882568359
2015-10-04,89.06109466552735
2015-10-11,92.25998992919922
2015-10-18,94.44881744384766
2015-10-25,98.1180191040039
2015-11-01,102.89652099609376
2015-11-08,104.3193572998047
2015-11-15,106.24226837158203
2015-11-22,105.2778335571289
2015-11-29,105.06301307678223
2015-12-06,104.77577209472656
2015-12-13,104.03161163330078
2015-12-20,104.43246765136719
2015-12-27,104.1650619506836
2016-01-03,105.19201278686523
2016-01-10,99.85042877197266
2016-01-17,96.37569732666016
2016-01-24,94.68446922302246
2016-01-31,101.22960052490234
2016-02-07,110.52267761230469
2016-02-14,100.05680847167969
2016-02-21,102.90495681762695
2016-02-28,106.26409454345703
2016-03-06,108.0838134765625
2016-03-13,106.3454574584961
2016-03-20,110.17738189697266
2016-03-27,111.54713249206543
2016-04-03,114.04305114746094
2016-04-10,111.67364501953125
2016-04-17,109.26057434082031
2016-04-24,110.96123504638672
2016-05-01,111.53671722412109
